timestamp,service_date,hospital_id,batch_id,data_source,is_anomalous,anomaly_domain,claim_volume,beneficiary_volume,provider_volume,duplicate_rate,null_rate,invalid_format_rate,logic_failure_rate,claim_amount_total,claim_amount_mean,claim_amount_median,processing_duration,throughput,failure_rate,pde_count,claim_pde_ratio,median_rx_cost,median_days_supply,backlog
2026-07-02T00:00:00,2026-07-02,HOSP-001,BATCH-20260702-HOSP-001,DEVELOPMENT_SIMULATION,False,,5248,4774,49,0.0033946339367881464,0.01312037280884873,0.0016239780813448105,0.005580836121681995,6444040.870146632,1227.9041292200138,1105.1137162980124,6285.837483790112,0.8348927272672126,0.00011852604486622221,,,,,
2026-07-02T00:00:00,2026-07-02,HOSP-002,BATCH-20260702-HOSP-002,DEVELOPMENT_SIMULATION,False,,4709,3896,47,0.002216968971838151,0.020495128632644757,0.0027277800745684633,0.00791229140198042,5173857.82543452,1098.7168879665576,988.8451991699019,4848.908393240465,0.9711464144310291,0.0004297256589643225,,,,,
2026-07-02T00:00:00,2026-07-02,HOSP-003,BATCH-20260702-HOSP-003,DEVELOPMENT_SIMULATION,False,,5732,4757,48,0.0030569377536544466,0.02184829137724085,0.001185801650879991,0.011075448519014382,6534334.493119291,1139.9746149894088,1025.977153490468,5404.2866050985,1.0606395291086763,0.0007158097238609412,,,,,
2026-07-02T00:00:00,2026-07-02,HOSP-004,BATCH-20260702-HOSP-004,DEVELOPMENT_SIMULATION,False,,4489,3924,49,0.0011375540844608737,0.028186408041575642,0.002035119926400068,0.011625222843539819,5480558.867797635,1220.8863595004755,1098.797723550428,4876.9059652008145,0.9204606428812203,0.00026636900997297435,,,,,
2026-07-02T00:00:00,2026-07-02,HOSP-005,BATCH-20260702-HOSP-005,DEVELOPMENT_SIMULATION,False,,5369,4366,50,0.0017839314496765808,0.010904545778210761,0.0023013213230530577,0.00888677289689482,6858199.753798003,1277.370041683368,1149.6330375150312,5507.549278240856,0.9748437515051868,0.0003528410587186427,,,,,
2026-07-03T00:00:00,2026-07-03,HOSP-001,BATCH-20260703-HOSP-001,DEVELOPMENT_SIMULATION,False,,4434,4080,50,0.0012982025747190833,0.02973773873201034,0.00408897907718663,0.006987156815341724,5777945.188274705,1303.0999522495952,1172.7899570246357,5508.2530987938135,0.8049739037901051,0.0001666401865606813,,,,,
2026-07-03T00:00:00,2026-07-03,HOSP-002,BATCH-20260703-HOSP-002,DEVELOPMENT_SIMULATION,False,,4580,4256,48,0.0034931925073102316,0.016617960497052983,0.0012542334011440945,0.008109823217156621,6036310.085872921,1317.97163447007,1186.174471023063,5242.184493577182,0.8736815740864323,0.0008984914683186939,,,,,
2026-07-03T00:00:00,2026-07-03,HOSP-003,BATCH-20260703-HOSP-003,DEVELOPMENT_SIMULATION,False,,4481,4064,49,0.00404314019446759,0.021225543951389925,0.004083868719818244,0.009937955963643906,4203292.218857385,938.0254895910256,844.222940631923,4212.551493213638,1.0637258695160945,0.000197102284293974,,,,,
2026-07-03T00:00:00,2026-07-03,HOSP-004,BATCH-20260703-HOSP-004,DEVELOPMENT_SIMULATION,False,,5043,4272,48,0.0030342827646588112,0.028151329478521857,0.0019971689165954997,0.009103829230356297,5653577.024837639,1121.074167130208,1008.9667504171872,4764.055002483764,1.058552010287624,0.0003607763076223912,,,,,
2026-07-03T00:00:00,2026-07-03,HOSP-005,BATCH-20260703-HOSP-005,DEVELOPMENT_SIMULATION,False,,5250,4886,55,0.004214688307596458,0.013731401177720717,0.0045702359939599115,0.010393422419156507,5931422.12571439,1129.7946906122647,1016.8152215510382,5145.8976266783,1.0202301679656418,0.0004843970097636307,,,,,
